Tytuł,Link,Źródło
"W - wykonanie robót; Oddział Gdańsk; Kartuzy, 2402259, Budowa linii kablowej nN dla zasilania budynków mieszkalnych - jednorodzinnych na dz. 608/9 i 6...",https://connect.orlen.pl/app/outRfx/460149/supplier/status,orlen
"W - wykonanie robót; Oddział Gdańsk; Gdynia; Wykonanie robót: Wymiana istn. złącza kablowego 0,4kV dla potrzeb zasilania budynku mieszkalnego, dz. nr ...",https://connect.orlen.pl/app/outRfx/460122/supplier/status,orlen
"W - wykonanie robót; Oddział Gdańsk; Tczew, 2302125, Rozbudowa linii kablowej nn YAKXS 4x120 , DT- 16783(zakres ograniczony, III-etap).; Przywidz gmi...",https://connect.orlen.pl/app/outRfx/460158/supplier/status,orlen
"W - wykonanie robót; Oddział Gdańsk; Gdynia; Wykonanie robót: Wymiana istn. złącza kablowego 0,4kV dla potrzeb zasilania budynku mieszkalnego, dz. nr ...",https://connect.orlen.pl/app/outRfx/460117/supplier/status,orlen
"W - wykonanie robót; Oddział Gdańsk; Tczew, 2404563, Wymiana złącza kablowego nn, KRSN-P2, (WYT.),; Tczew gmina miejska; Tczew (miasto)",https://connect.orlen.pl/app/outRfx/460000/supplier/status,orlen
"W - wykonanie robót; Oddział Gdańsk; Tczew, 2400870, Wplecenie złącza kablowo-pomiarowego YAKXS 4x120, KRSN-P2, DT- 17178; Trąbki Wielkie gmina wiejsk...",https://connect.orlen.pl/app/outRfx/460068/supplier/status,orlen
"W - wykonanie robót; Oddział Gdańsk; Gdynia; Wykonanie robót: Budowa przyłącza kablowego 0,4kV dla potrzeb zasilania budynku mieszkalnego dz. nr 0018-...",https://connect.orlen.pl/app/outRfx/460115/supplier/status,orlen
"W - wykonanie robót; Oddział Gdańsk; Gdynia; Wykonanie robót: Budowa przyłącza kablowego 0,4kV dla potrzeb zasilania budynku mieszkalnego dz. nr 164/8...",https://connect.orlen.pl/app/outRfx/460114/supplier/status,orlen
W - wykonanie robót; Oddział Olsztyn; Lidzbark; OBI/62/2301269; Dobre Miasto obszar wiejski; Swobodna,https://connect.orlen.pl/app/outRfx/460266/supplier/status,orlen
W - wykonanie robót; Oddział Olsztyn; Lidzbark; OBI/62/2303601; Sępopol obszar wiejski; Szczurkowo,https://connect.orlen.pl/app/outRfx/460264/supplier/status,orlen
"W - wykonanie robót; Oddział Kalisz; Kępno, Budowa przyłącza kablowego 0,4kV, YAKXS 4x35mm - 26mb; Wieruszów obszar wiejski; Cieszęcin (wieś)",https://connect.orlen.pl/app/outRfx/460253/supplier/status,orlen
"P - wykonanie projektów; Oddział Koszalin; Oddział Koszalin, Łupawa",https://connect.orlen.pl/app/outRfx/460246/supplier/status,orlen
